streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers,contenido principal
ilrossopiubelloditwitch,/ilrossopiubelloditwitch,5099,126.9,19324,13515,348633,Just Chatting
filian,/filian,6499,75.5,38417,20848,815238,Just Chatting
WarThunder_eSports_RU,/warthunder_esports_ru,8747,27.5,15749,24884,51904,War Thunder
tteuw,/tteuw,7486,50.7,37127,12762,496332,VALORANT
dasMEHDI,/dasmehdi,2495,370.7,43983,9629,452584,Grand Theft Auto V
fanfan,/fanfan,4823,138.1,37338,10986,247297,Just Chatting
abugoku9999,/abugoku9999,4672,146.0,34917,10106,537029,Grand Theft Auto V
orslok,/orslok,6001,88.8,32649,7447,816094,Just Chatting
sneakylol,/sneakylol,2613,346.6,34565,-69,1759167,League of Legends
buddha,/buddha,9899,9.2,67137,247,883505,Grand Theft Auto V
Distortion2,/distortion2,3190,261.6,22656,2493,636613,ELDEN RING
ありさか,/cr_arisakaaa,6244,78.5,16852,8256,408753,VALORANT
Zoomaa,/zoomaa,4027,181.3,31344,3930,368892,Call of Duty: Modern Warfare II
Brawlhalla,/brawlhalla,8005,35.8,162409,12347,2047864,Brawlhalla
ぐちつぼ,/gutitubo,5032,122.1,20675,6143,254448,Minecraft
qojqva,/qojqva,3674,207.4,12041,1821,256963,Dota 2
chess24,/chess24,7521,44.3,36269,3217,192889,Chess
バトラ,/batora324,4946,124.8,13592,2060,68255,Super Mario 64
AuzioMF,/auziomf,4289,160.7,25558,11695,350966,FIFA 23
Ninja,/ninja,5908,86.2,616693,6408,19018157,Fortnite
LetsHugoTV,/letshugotv,4529,145.8,25755,30554,863001,Minecraft
