streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers,contenido principal,idioma,fecha creacion canal,subs actuales,maximo subs
Quin69,/quin69,11436,228.7,44153,7820,826486,Path of Exile,English,2014-02-12,3884.0,24776.0
Maximilian_DOOD,/maximilian_dood,12323,202.6,62310,15623,1268663,Just Chatting,English,2012-04-28,20162.0,20359.0
s0mcs,/s0mcs,10147,267.2,44008,32520,1061454,VALORANT,English,2016-06-28,7346.0,10100.0
alanzoka,/alanzoka,15408,135.8,147051,48920,6964923,Just Chatting,Portuguese,2012-12-05,21421.0,32652.0
TSM_ImperialHal,/tsm_imperialhal,14217,152.4,108815,15289,1988414,Apex Legends,English,2017-02-04,8621.0,18949.0
MOONMOON,/moonmoon,13336,167.5,42066,10179,1184615,Overwatch,English,2016-04-06,12424.0,36621.0
ESL_DOTA2,/esl_dota2,4493,704.4,263970,12819,764153,Dota 2,English,2012-09-27,0.0,615
HandIOfIBlood,/handiofiblood,13485,160.3,65007,58451,1058590,PUBG: BATTLEGROUNDS,German,2013-09-17,,
Mongraal,/mongraal,15781,120.2,140446,146579,6769876,Fortnite,English,2016-09-01,3384.0,11398.0
Gorgc,/gorgc,10344,240.5,93988,2769,710719,Dota 2,English,2015-11-29,4450.0,10088.0
DessT3,/desst3,11321,205.6,26299,66276,493696,Grand Theft Auto V,Spanish,2019-04-20,7360.0,7360.0
elxokas,/elxokas,18464,83.0,1208144,54268,3886303,World of Warcraft,Spanish,2012-07-06,11732.0,53543.0
im_mittiii,/im_mittiii,11189,207.2,38681,19201,245477,VALORANT,Japanese,2021-04-09,0.0,2569
gabepeixe,/gabepeixe,11643,193.3,101307,28706,1467333,Just Chatting,Portuguese,2014-03-28,6390.0,14346.0
Ramee,/ramee,11013,210.3,41892,17355,574475,Grand Theft Auto V,English,2015-07-11,6644.0,17134.0
sodapoppin,/sodapoppin,12221,169.8,110052,-1143,8886026,World of Warcraft,English,2011-11-22,3942.0,22488.0
ElSpreen,/elspreen,20686,51.8,403954,74646,9090372,Just Chatting,Spanish,2017-05-22,2894.0,27524.0
ElZeein,/elzeein,7023,366.5,41203,39808,528634,Just Chatting,Spanish,2012-01-20,4765.0,17202
Warframe,/warframe,27153,12.2,433736,10860,2048254,Warframe,English,2012-06-23,,
telefe,/telefe,9064,255.5,76912,54310,504751,Just Chatting,Spanish,2020-10-01,,
bratishkinoff,/bratishkinoff,14305,120.1,146916,37068,2810559,Just Chatting,Russian,2015-08-20,6780.0,8397.0
Jasper7se,/jasper7se,11131,180.8,51453,21030,601228,VALORANT,Japanese,2014-12-17,2094.0,9733.0
はんじょう,/hanjoudesu,11935,160.7,30536,14661,244602,Apex Legends,Japanese,2020-05-02,1547.0,2583.0
VALORANT_Pacific,/valorant_pacific,18277,66.2,48075,65859,256401,VALORANT,English,2020-11-18,,
LCS,/lcs,18788,60.4,400429,6008,1970845,League of Legends,English,2016-05-16,,
Fortnite,/fortnite,19961,49.9,700529,143565,5822051,Fortnite,English,2014-01-17,,
zubarefff,/zubarefff,22135,34.0,69039,68753,1668095,Just Chatting,Russian,2022-03-05,,
IzakOOO,/izakooo,11522,167.2,116805,16100,1928012,Counter-Strike,Polish,2012-10-07,725.0,6637.0
xCry,/xcry,21965,34.6,606851,47886,3240607,Just Chatting,Spanish,2015-07-15,16300.0,41013.0
s1mple,/s1mple,23608,22.9,73680,44685,3695891,Counter-Strike,English,2014-04-15,716.0,1053.0
QuackityToo,/quackitytoo,26341,8.8,140697,9017,4604806,Minecraft,Spanish,2021-01-22,,
VALORANT_BR,/valorant_br,17166,67.2,150096,28273,726702,VALORANT,Portuguese,2020-03-21,,
Thebausffs,/thebausffs,13076,120.2,47879,11706,1212882,League of Legends,English,2015-06-18,2252.0,7399.0
evelone2004,/evelone2004,17858,57.4,56415,26938,727951,Just Chatting,Russian,2021-10-28,,
Warcraft,/warcraft,15790,78.4,98596,17805,788503,World of Warcraft,English,2012-11-07,,
Quackity,/quackity,24593,8.8,381550,14037,6328015,Minecraft,English,2013-09-03,1081.0,42252.0
casimito,/casimito,14598,90.6,534644,16805,3819356,Just Chatting,Portuguese,2018-09-03,9204.0,159487.0
davooxeneize,/davooxeneize,11634,138.8,70524,66404,1759756,Just Chatting,Spanish,2020-03-15,,
LuquEt4,/luquet4,13515,103.9,111307,16434,1713674,Grand Theft Auto V,Portuguese,2018-10-17,7016.0,21769
Amar,/amar,12588,118.2,183300,47180,1697599,Fortnite,German,2014-08-01,8940.0,12427.0
Reborn,/reborn,11112,146.8,113707,36652,2591069,Just Chatting,Spanish,2015-12-14,0.0,13719.0
bySL4M,/bysl4m,11469,138.6,106769,29625,281563,Counter-Strike,Russian,2012-12-25,35.0,226
rivers_gg,/rivers_gg,16915,57.3,213846,78813,5855149,Just Chatting,Spanish,2021-10-16,6691.0,21955.0
CohhCarnage,/cohhcarnage,9625,180.8,70985,8137,1565150,Path of Exile,English,2011-12-06,7185.0,20496.0
ExtraEmily,/extraemily,14106,87.5,43132,16619,340705,Just Chatting,English,2020-04-20,2911.0,4951.0
iiTzTimmy,/iitztimmy,8711,208.9,138482,29843,2811666,Apex Legends,English,2013-06-28,5617.0,59980.0
mrbluwu,/mrbluwu,3348,720.0,15228,7252,65430,Call of Duty: Black Ops 4,English,2019-01-28,,
Shlorox,/shlorox,4608,490.1,21757,3434,418074,Grand Theft Auto V,German,2013-02-27,102565.0,102565.0
Roier,/roier,15589,66.1,300741,26075,2378692,Just Chatting,Spanish,2014-01-10,,
PirateSoftware,/piratesoftware,8445,215.8,18515,68386,449810,Software and Game Development,English,2017-03-24,20434.0,72687.0
knekro,/knekro,9754,170.2,60150,7147,1122822,Just Chatting,Spanish,2017-04-07,5576.0,11195.0
AussieAntics,/aussieantics,8704,202.7,43924,53113,1187164,Fortnite,English,2018-05-20,7910.0,14776.0
