streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers,contenido principal,idioma,fecha creacion canal,subs actuales,maximo subs
三人称_ドンピシャ,/sanninshow_3ns,4971,75.7,17871,3005,123822,Apex Legends,Japanese,2021-04-05,527.0,1570.0
TangoTek,/tangotek,6012,42.9,19718,9455,292183,Minecraft,English,2013-03-09,2817.0,10018.0
Alderiate,/alderiate,4188,109.5,48159,1971,444808,League of Legends,French,2014-12-18,,
Scurrows,/scurrows,4710,84.8,16237,3942,211017,Grand Theft Auto V,German,2016-06-14,0.0,7021.0
Bagi,/bagi,4690,85.4,66714,8923,992566,Just Chatting,Portuguese,2013-08-04,2068.0,6112.0
RybsonLoL_,/rybsonlol_,2270,293.3,42224,5567,318226,League of Legends,Polish,2016-05-01,2724.0,3545.0
Gustavin017,/gustavin017,1108,715.8,1563,138,37573,Virtual Casino,Portuguese,2019-06-15,,
BlackUFA,/blackufa,3756,132.7,18921,1001,380002,Just Chatting,Russian,2015-08-09,49.0,4909.0
NASA,/nasa,7399,12.6,392939,20857,1250611,Science & Technology,English,2017-03-30,,
robcdee,/robcdee,3323,163.9,18717,2348,312931,Just Chatting,English,2017-08-10,2144.0,8180.0
jingggxd,/jingggxd,4139,109.6,22536,27045,513461,VALORANT,English,2016-10-06,,
Dhalucard,/dhalucard,2682,229.3,30074,1119,542139,Dead by Daylight,German,2010-09-27,5357.0,19368.0
ぺいんと,/peintooon,3123,181.0,18831,12068,216263,Grand Theft Auto V,Japanese,2014-09-14,,
BurkeBlack,/burkeblack,2706,225.6,15759,9215,321637,Just Chatting,English,2013-06-04,2056.0,4437.0
Agraelus,/agraelus,3233,169.5,54289,8245,689577,Just Chatting,Czech,2012-10-03,7212.0,14010.0
주르르,/cotton__123,7198,14.7,35570,203,307120,Just Chatting,Korean,2018-03-08,549.0,2831.0
alexelcapo,/alexelcapo,3754,130.0,108851,696,1067633,League of Legends,Spanish,2012-09-12,4416.0,17844.0
1GO_Casino,/1go_casino,7046,17.2,7085,11,2011,Casino,Russian,2024-02-12,,
biyin_,/biyin_,6054,38.1,174435,6841,3168741,VALORANT,Spanish,2020-09-07,621.0,10625.0
deusamir,/deusamir,3634,137.1,10836,24204,179358,Call of Duty: Warzone,Spanish,2018-07-11,,
Subroza,/subroza,3248,166.6,26866,6779,993120,VALORANT,English,2013-03-04,2647.0,5197.0
rootthegamer,/rootthegamer,5690,47.2,44928,3329,135742,Counter-Strike,Turkish,2021-09-02,1698.0,6855.0
stariy_bog,/stariy_bog,3964,116.0,34103,13980,195948,Dota 2,Russian,2016-04-15,,
RATIRL,/ratirl,4364,94.8,19829,1989,816660,League of Legends,English,2014-02-20,4408.0,27948.0
EWROON,/ewroon,4349,95.3,34314,-154,914282,Grand Theft Auto V,Polish,2015-02-08,2855.0,10074.0
NiklasWilson,/niklaswilson,3401,152.8,26307,11990,852911,Just Chatting,German,2020-03-20,2711.0,8129.0
RezReel,/rezreel,5860,40.9,36296,278,1106054,ROBLOX,English,2020-11-05,,
Nissaxter,/nissaxter,4480,87.2,17078,2828,772246,League of Legends,Spanish,2013-04-11,1694.0,4036.0
KubaFPS,/kubafps,3167,169.1,20711,9785,252485,VALORANT,German,2017-07-06,4731.0,10491
TinaKitten,/tinakitten,5197,59.4,54388,11882,1864248,Minecraft,English,2013-04-03,1496.0,4782.0
RachtaZ,/rachtaz,2918,192.4,17651,13103,132451,Hunt: Showdown,English,2017-08-05,1330.0,2006.0
Aspen,/aspen,3195,165.5,17709,13610,323465,Overwatch,English,2017-02-16,,
peqitw,/peqitw,5216,58.3,20127,10224,187730,Minecraft,Portuguese,2017-08-01,,
jcorko_,/jcorko_,3024,180.8,34875,23725,703859,Grand Theft Auto V,Spanish,2017-07-18,1536.0,1724.0
Dkayed,/dkayed,5970,36.5,21147,1007,209896,Yu-Gi-Oh! Duel Links,English,2017-03-07,837.0,12841.0
FRG_SR,/frg_sr,7129,12.5,7176,5,1282,Casino,Russian,2024-02-16,,
SilverName,/silvername,3868,116.1,47383,325,846921,Hearthstone,Russian,2014-08-28,154.0,3739.0
BadBoyHalo,/badboyhalo,2863,195.4,187142,-1310,2672435,Minecraft,English,2020-08-19,1672.0,4629.0
Twitchmedia18,/twitchmedia18,4477,84.9,6061,2,172,Hearthstone,English,2015-09-24,,
ハイタニ,/haitani0904,4436,86.1,16569,5192,93743,Street Fighter 6,Japanese,2018-03-16,,
Twitchmedia16,/twitchmedia16,5185,57.6,5747,19,390,Fortnite,English,2015-09-24,,
MaximusBlack,/maximusblack,2502,237.6,23161,3848,334991,Grand Theft Auto V,English,2011-08-08,,
Tonton,/tonton,3104,169.8,43194,1146,474446,World of Warcraft,French,2014-10-05,1254.0,5528.0
ESL_SC2,/esl_sc2,1049,719.4,57127,3664,392669,StarCraft II,English,2012-05-02,0.0,529
FishAtAce,/fishatace,5241,55.1,5190,3,101,Just Chatting,English,2021-12-02,,
ade3_3,/ade3_3,3457,140.5,18295,3163,88508,VALORANT,Japanese,2015-01-13,,
Xayoo_,/xayoo_,6313,26.7,190279,1604,1018856,League of Legends,Polish,2015-11-18,857.0,10037.0
WELOVEGAMES,/welovegames,3170,163.0,28413,2021,486224,Just Chatting,Russian,2012-05-26,917.0,25720.0
hitsquadgodfather,/hitsquadgodfather,1043,720.0,3838,1313,122572,Just Chatting,English,2016-10-22,,
HoneyPuu,/honeypuu,3823,115.4,18028,9044,933307,Just Chatting,German,2017-05-30,3124.0,9745.0
Altair,/altair,2935,183.7,11981,1545,107372,Just Chatting,French,2018-01-14,5259.0,10324.0
kindalegoat,/kindalegoat,6294,25.9,11989,8286,92331,Just Chatting,French,2023-03-13,,
GernaderJake,/gernaderjake,2683,210.1,28980,2282,539586,Destiny 2,English,2008-08-18,8273.0,26035.0
qlnek,/qlnek,4041,102.2,24731,11279,193751,Fortnite,Polish,2013-03-01,1182.0,1794.0
lol_nemesis,/lol_nemesis,3258,153.0,25820,3661,697025,League of Legends,English,2015-03-24,619.0,1900.0
rubenmartinweb,/rubenmartinweb,4502,79.8,18376,1505,173838,Sports,Spanish,2020-03-19,1292.0,3024.0
dota2_paragon_ru3,/dota2_paragon_ru3,5733,38.8,33708,5868,43450,Dota 2,Russian,2023-04-11,,
Payo,/payo,2456,238.6,14877,1963,322082,World of Warcraft,English,2014-03-25,4129.0,8298.0
Smoke,/smoke,3820,113.7,31955,1772,317491,DayZ,English,2014-09-09,2970.0,6839.0
masondota2,/masondota2,3320,147.4,11948,1246,252033,Dota 2,English,2013-02-26,996.0,2804.0
goncho,/goncho,4365,85.4,62766,9626,1332605,Just Chatting,Spanish,2016-02-02,1186.0,2852.0
BaityBait,/baitybait,4411,83.3,19859,6326,298781,Just Chatting,Spanish,2020-06-30,2923.0,5480
湊あくあ_本物,/minatoaquach_hololive,7013,11.2,10084,11178,87073,Palworld,Japanese,2021-10-31,,
TheMainManSWE,/themainmanswe,3135,162.2,59206,16079,161525,Tekken 7,English,2013-12-21,,
SolaryHS,/solaryhs,1037,714.2,20855,232,202025,Hearthstone,French,2019-02-12,,
똘똘똘이_,/jungtaejune,2445,238.6,19685,-213,146016,Just Chatting,Korean,2015-03-24,335.0,1102.0
keznit1,/keznit1,4509,78.5,21086,10406,375195,VALORANT,Spanish,2017-01-04,2121.0,3435.0
byilhann,/byilhann,4511,78.3,23536,48958,383669,Just Chatting,French,2020-02-29,,
Kaydop,/kaydop,3209,155.1,50600,4079,779037,Rocket League,French,2014-06-04,2350.0,4729.0
Zy0xxx,/zy0xxx,4643,72.9,17422,6986,339913,Genshin Impact,English,2015-01-08,,
MayckonQuerinoCunha,/mayckonquerinocunha,1138,638.6,2994,-1285,4389,Garena Free Fire,Portuguese,2016-01-24,,
LilAggy,/lilaggy,2658,208.7,18687,6916,177586,Sekiro: Shadows Die Twice,English,2013-05-05,3380.0,4242.0
c0ker,/c0ker,4683,70.2,8913,14351,333689,Just Chatting,Spanish,2018-01-29,1105.0,1196.0
Staryuuki,/staryuuki,3092,162.9,33699,22981,3307663,Just Chatting,Spanish,2017-07-28,2984.0,15133.0
Vadeal,/vadeal,3207,153.1,39405,58326,891983,Fortnite,German,2020-01-22,3619.0,5754.0
buckefps,/buckefps,3557,127.1,21553,19420,804135,Fortnite,English,2016-04-02,2819.0,5839.0
Gladd,/gladd,2154,280.8,116567,670,534548,Destiny 2,English,2015-02-02,3537.0,50959
dogdog,/dogdog,3965,101.7,31142,-60,641084,Hearthstone,English,2014-04-16,998.0,3658.0
GrenBaud,/grenbaud,3739,114.4,44756,3503,1005636,Just Chatting,Italian,2020-08-17,4755.0,11287.0
DylanteroLIVE,/dylanterolive,5738,35.8,52079,18141,1404176,Just Chatting,Spanish,2016-07-24,218.0,507.0
KingGeorge,/kinggeorge,2036,302.0,33713,14954,1081055,Tom Clancy's Rainbow Six Siege,English,2016-02-29,2223.0,10132.0
Dracon,/dracon,2960,172.9,8762,1181,65454,Just Chatting,German,2012-12-26,2076.0,3557.0
Robleis,/robleis,6148,25.7,82090,41464,5765266,Fortnite,Spanish,2018-03-01,549.0,12026.0
CriticalRole,/criticalrole,5084,54.2,212816,5100,1336641,Dungeons & Dragons,English,2018-06-08,7062.0,139559.0
rayasianboy,/rayasianboy,3756,112.5,54542,143567,436542,Grand Theft Auto V,English,2020-08-21,,
파카9999,/paka9999,4057,95.2,47236,367,494677,League of Legends,Korean,2017-07-13,61.0,513.0
valorantesports_cn,/valorantesports_cn,4839,61.8,17741,21021,69056,VALORANT,Chinese,2021-11-20,,
REVENANT,/revenant,3561,123.3,18544,218,464456,Just Chatting,Spanish,2012-12-13,3715.0,10135.0
嬌兔,/zrush,2482,223.2,12463,299,261478,Just Chatting,Chinese,2010-08-27,1456.0,5863.0
genesisgg_2,/genesisgg_2,6120,24.4,11539,17909,18293,Super Smash Bros. Ultimate,English,2023-11-29,,
itsSpoit,/itsspoit,4414,76.0,20239,29250,431602,Tom Clancy's Rainbow Six Siege,English,2017-01-11,5726.0,5794.0
singsing,/singsing,2716,192.5,24068,85,644045,Dota 2,English,2011-03-28,1438.0,3541.0
Nisqyy,/nisqyy,4146,87.7,20429,6139,317847,League of Legends,French,2015-03-06,623.0,1089
MrDzinold,/mrdzinold,4132,88.3,23355,22510,562082,Just Chatting,Polish,2015-03-12,1802.0,4034.0
iLame,/ilame,2317,244.4,10780,3836,399676,PUBG: BATTLEGROUNDS,Russian,2015-04-07,90.0,3480.0
impulseSV,/impulsesv,4984,54.0,9749,11498,342788,Minecraft,English,2013-03-09,2211.0,5403.0
1_GO_Casino,/1_go_casino,6928,7.6,7103,1,1277,Casino,Russian,2024-02-12,,
ElChiringuitoTV,/elchiringuitotv,2463,222.4,129514,6843,961796,Sports,Spanish,2018-08-12,930.0,1663
NickEh30,/nickeh30,3425,128.7,88180,46801,5244105,Fortnite,English,2013-06-06,2633.0,9395.0
Doigby,/doigby,4399,75.0,297748,15835,1791260,Fortnite,French,2011-10-14,521.0,2195.0
GagoMS,/gagoms,5557,35.7,29256,11916,256064,Grand Theft Auto V,Portuguese,2019-01-07,177.0,612
Ricoy,/ricoy,4316,77.7,57407,406,475741,Rust,Spanish,2015-07-19,1097.0,7503.0
renatko,/renatko,4804,58.5,16816,11423,178278,Just Chatting,Russian,2015-06-06,0.0,35
Squeex,/squeex,3821,101.6,21201,5082,179355,Super Mario 64,English,2012-09-04,,
KendineMuzisyen,/kendinemuzisyen,6850,7.5,92142,497,2591604,Just Chatting,Turkish,2015-01-06,1646.0,17034.0
풍월량,/hanryang1125,2714,187.9,44351,-2320,615979,Just Chatting,Korean,2015-10-06,991.0,4315.0
Harry,/harry,2313,239.3,20235,1815,165025,Grand Theft Auto V,English,2015-11-27,1582.0,5154.0
RebirthzTV,/rebirthztv,2841,173.8,47600,4648,806723,Grand Theft Auto V,Thai,2013-10-05,1121.0,5706.0
StreamerHouse,/streamerhouse,973,720.2,20911,10787,782252,New World,English,2013-06-14,856.0,9414.0
SergioFFerra,/sergiofferra,3317,132.1,22632,6386,174707,VALORANT,Spanish,2016-01-20,,
CasinoDaddy,/casinodaddy,1594,394.7,17811,1308,201840,Slots,English,2016-04-08,1849.0,2702.0
xhocii,/xhocii,4258,77.9,22902,5347,111572,Counter-Strike,English,2019-12-11,,
metashi12,/metashi12,3512,117.4,38267,1498,208342,World of Warcraft,German,2014-02-09,5422.0,22583.0
MataraKan,/matarakan,5837,26.4,44578,7300,180557,Just Chatting,English,2023-08-25,,
ColtHavok,/colthavok,2816,173.7,9317,12471,224856,Call of Duty: Modern Warfare II,English,2016-03-19,,
adolfz,/adolfz,4543,65.3,22020,5042,755505,FIFA 22,Portuguese,2011-12-10,2166.0,5599.0
WDGJAPAN_ow,/wdgjapan_ow,6180,18.5,11126,13082,24798,Overwatch 2,Japanese,2023-02-16,,
hudson_strms,/hudson_strms,2788,175.9,3094,150,1187,Slots,Portuguese,2024-02-01,,
T2x2,/t2x2,4349,72.9,9567,60282,303433,Just Chatting,Russian,2013-08-27,0.0,876
aceu,/aceu,3508,116.9,36749,-3259,2904959,Apex Legends,English,2015-04-19,2020.0,10466.0
にしのん,/2_nsnn_4,3883,94.5,8895,3753,45359,Grand Theft Auto V,Japanese,2021-10-19,,
Gssspotted,/gssspotted,3410,122.9,13887,3388,296210,Dota 2,Thai,2017-11-10,,
Maximum,/maximum,3155,140.9,161544,109,498144,World of Warcraft,English,2013-04-15,1335.0,12540.0
Maghla,/maghla,5459,34.4,36496,10210,903620,Just Chatting,French,2016-08-03,1157.0,4008.0
艾怡,/irissiri129,3414,121.4,9396,13559,258410,League of Legends,Cantonese,2017-09-28,,
Grenheir,/grenheir,2324,230.0,14713,8930,218168,Just Chatting,Spanish,2017-04-12,4743.0,4627
ramzes,/ramzes,5323,37.8,21274,7043,357309,Dota 2,Russian,2014-12-25,,
sotibllec,/sotibllec,6699,7.2,8918,2755,105697,Variety,Portuguese,2018-08-24,,
JeefHS,/jeefhs,2335,228.1,4297,4772,34558,Hearthstone,English,2015-05-26,,
crazyfacetw,/crazyfacetw,3208,135.7,9276,3463,161962,VALORANT,Chinese,2016-04-11,1676.0,3477.0
SweeetTails,/sweeettails,6007,20.7,24224,7665,517517,Just Chatting,English,2017-11-26,,
Sequisha,/sequisha,2241,241.4,58982,1128,396568,Escape from Tarkov,English,2011-10-14,3343.0,9792
pokimane,/pokimane,6084,18.7,138482,-5049,9333015,Just Chatting,English,2013-06-07,807.0,30712.0
ybicanoooobov,/ybicanoooobov,3543,111.4,24377,1026,669434,Dota 2,Russian,2014-08-14,110.0,3359.0
Cinderella_TV_,/cinderella_tv_,956,712.5,15311,6845,81171,"Pools, Hot Tubs, and Beaches",English,2022-07-18,,
twitchmedia26,/twitchmedia26,5209,40.0,6134,7,192,Just Chatting,English,2016-05-20,,
noditax19,/noditax19,6729,5.6,8984,10,11,Variety,English,2024-01-27,,
징버거,/jingburger,6487,9.4,34127,209,310474,Just Chatting,Korean,2018-07-10,,
derzko69,/derzko69,4394,66.2,40201,75413,513440,Just Chatting,Russian,2017-11-08,,
39daph,/39daph,3680,100.6,44646,-4507,1206114,Art,English,2017-06-17,1162.0,5671.0
bruxaofc01,/bruxaofc01,1032,642.9,1986,87,25766,Virtual Casino,Portuguese,2023-10-10,,
sometimepro,/sometimepro,6634,6.3,30022,-372,1049290,VALORANT,English,2020-01-27,,
GEEGA,/geega,3180,133.6,23866,10217,146148,Just Chatting,English,2012-10-17,0.0,251
Snopey_,/snopey_,3734,97.2,16539,27830,540443,Just Chatting,Portuguese,2019-01-18,,
mazellovvv,/mazellovvv,4872,48.4,18765,12974,1285263,Just Chatting,Russian,2018-10-29,439.0,1580.0
shanks_ttv,/shanks_ttv,2871,159.0,10221,5103,476452,VALORANT,English,2020-06-05,,
todomundoptbr,/todomundoptbr,1416,434.9,2179,30381,71929,Just Chatting,Portuguese,2014-09-02,,
Shisheyu_Mayamoto,/shisheyu_mayamoto,3183,131.8,14233,901,129569,The Binding of Isaac: Repentance,French,2014-05-22,3435.0,5789.0
Vader,/vader,2477,200.5,36349,1224,462479,Grand Theft Auto V,English,2014-08-23,2380.0,12822.0
Cabritoz,/cabritoz,4262,69.8,18307,17313,507361,Just Chatting,Portuguese,2015-01-22,,
FRG_TIPS,/frg_tips,4104,76.4,4764,11,788,Casino,Russian,2024-02-26,,
MYM_ALKAPONE,/mym_alkapone,2860,158.0,39163,-254,1153092,Just Chatting,Spanish,2012-06-19,4765.0,9598.0
たかやスペシャル,/takayaspecial,2838,160.0,8818,2179,42187,League of Legends,Japanese,2015-06-12,,
Kyle,/kyle,2505,196.0,28896,-906,517538,Grand Theft Auto V,English,2017-04-24,3463.0,13592.0
BobbyPoffGaming,/bobbypoffgaming,1982,276.6,29145,5627,407972,Call of Duty: Warzone,English,2018-04-08,14376.0,26975.0
Lobanjicaa,/lobanjicaa,4094,76.3,20952,21492,531449,Counter-Strike,English,2016-06-15,713.0,3568.0
5opka,/5opka,3174,130.4,10482,26362,610231,Just Chatting,Russian,2012-07-15,,
番田長助,/banda_chosuke,3110,135.1,29392,9929,109387,Grand Theft Auto V,Japanese,2019-11-05,,
cindelez,/cindelez,921,719.9,3155,89,491,Variety,English,2023-05-04,,
aXtLOL,/axtlol,2502,194.9,50764,2148,891982,League of Legends,Portuguese,2013-03-28,2584.0,3527.0
Lux_Grlx,/lux_grlx,5747,21.7,7110,477,1305,Casino,Russian,2024-02-13,,
PlayOverwatch,/playoverwatch,6478,6.6,224005,724,700393,Overwatch,English,2014-03-31,,
LuanZ7_,/luanz7_,2699,170.9,18383,6643,552366,Grand Theft Auto V,Portuguese,2018-08-14,1267.0,2810
Xop0,/xop0,1042,618.5,7281,29,148362,Just Chatting,Russian,2013-03-24,0.0,78
KOI,/koi,6314,9.3,51381,267,275876,League of Legends,Spanish,2021-12-15,,
依渟,/et_1231,2282,220.9,15511,4602,399241,Just Chatting,Chinese,2016-02-29,11380.0,23477.0
OniGiri,/onigiri,4156,71.1,18179,10526,193585,Just Chatting,English,2021-07-04,0.0,5700
AlphaCast,/alphacast,3095,133.2,52543,1573,621073,Overwatch,French,2015-06-25,,
FRG_RX,/frg_rx,6055,13.6,6159,4,781,Casino,Russian,2024-02-22,,
HusKerrs,/huskerrs,2403,202.4,40962,3593,1184989,Call of Duty: Warzone,English,2012-04-27,2099.0,12649.0
LVTHalo,/lvthalo,4378,60.6,25991,3600,66326,Halo Infinite,English,2018-05-13,1712.0,2462
jujalag,/jujalag,3055,134.6,15879,8261,505410,Just Chatting,Spanish,2020-04-27,3541.0,7945.0
Rakin,/rakin,2141,239.2,52992,-1811,1645257,League of Legends,Portuguese,2013-05-29,1233.0,5064.0
PapeSan,/papesan,4887,42.4,32507,6162,424509,Just Chatting,French,2020-01-15,,
Genburten,/genburten,2222,226.0,11638,15795,494077,Apex Legends,English,2016-09-22,928.0,1530.0
titanlol1,/titanlol1,5450,26.1,16664,3969,328651,League of Legends,Portuguese,2015-12-01,,
Kxpture,/kxpture,2723,163.4,5501,14725,383831,Call of Duty: Warzone,English,2019-10-29,,
iskall85,/iskall85,5006,38.2,15856,16821,706844,Minecraft,English,2014-08-17,2136.0,9097.0
MesutCanErayy,/mesutcanerayy,4682,48.5,22652,5912,83060,Casino Jackpot,Turkish,2023-01-30,,
Tomato,/tomato,4021,74.5,9319,539,159204,Minecraft,English,2013-05-20,4090.0,6558.0
Popo,/popo,4255,64.2,44378,1107,457703,Just Chatting,Polish,2015-05-16,833.0,2212.0
Joe_Bartolozzi,/joe_bartolozzi,3487,102.3,15915,25653,1516772,Just Chatting,English,2020-08-07,6591.0,7675.0
Lazvell,/lazvell,5417,26.2,28997,4980,332197,VALORANT,Japanese,2013-09-07,1094.0,3998.0
gon_vl,/gon_vl,6119,10.3,10898,4529,120028,VALORANT,Japanese,2016-12-26,,
frametamer666,/frametamer666,4021,73.7,58858,18009,1123565,Just Chatting,Russian,2021-03-18,,
LightFuryLF,/lightfurylf,2312,209.7,26832,697,112623,Dota 2,Thai,2017-02-05,1937.0,1957.0
KmSenKangoo,/kmsenkangoo,3795,84.1,30164,10301,485685,Just Chatting,French,2022-03-11,0.0,1396
Acie,/acie,2074,245.1,21244,2406,276062,Apex Legends,English,2017-12-04,1632.0,3170.0
Felps,/felps,2913,142.1,27059,6170,1454741,Just Chatting,Portuguese,2012-05-20,3221.0,5367
西南69,/kr1stw,2776,154.6,11351,287,69210,Grand Theft Auto V,Chinese,2017-08-21,1989.0,11990.0
Twitch,/twitch,5994,11.8,517160,3001,2313963,Talk Shows & Podcasts,English,2007-05-22,,
哈耿,/ennaouii,3955,74.9,22610,7968,100561,Dead by Daylight,Chinese,2018-07-09,,
FRG_OL,/frg_ol,3900,77.3,4109,122,1204,Casino,Russian,2024-02-06,,
고라니율,/golaniyule0,5020,35.2,16612,6311,316361,Just Chatting,Korean,2023-05-23,,
Tixinhadois,/tixinhadois,2126,233.8,39285,8257,465386,VALORANT,Portuguese,2012-07-14,1086.0,1102.0
Sharkmacedo,/sharkmacedo,3523,97.0,7395,12276,113259,FIFA 21,Portuguese,2017-11-10,,
Strippin,/strippin,2430,190.1,17818,932,329007,League of Legends,English,2011-06-29,2671.0,18563.0
FRG_stm,/frg_stm,5983,11.2,7175,5,1281,Casino,Russian,2024-02-16,,
tioorochitwitch,/tioorochitwitch,5515,21.5,39634,5854,1512045,Just Chatting,Portuguese,2018-02-22,,
bao,/bao,3174,119.1,22711,12464,505726,Just Chatting,English,2015-12-21,7158.0,18973
fnmoneymaker,/fnmoneymaker,2754,154.2,18355,98150,508177,Fortnite,English,2023-11-07,,
Silky,/silky,4655,45.6,16129,3742,439100,Just Chatting,English,2019-07-31,1024.0,4691.0
Putupau,/putupau,2387,194.4,21928,2687,440238,Genshin Impact,Spanish,2014-11-05,3106.0,9648.0
aspaszin,/aspaszin,5442,22.9,31319,11683,714108,VALORANT,Portuguese,2018-10-26,315.0,4360.0
twitchmedia43,/twitchmedia43,5220,28.5,5735,1,72,Dota 2,English,2016-05-20,,
Deadlyslob,/deadlyslob,2768,152.1,104568,186,413183,Escape from Tarkov,English,2010-05-22,2201.0,6777.0
IAM_XQ,/iam_xq,2210,218.5,11601,11713,161183,Overwatch,Japanese,2016-07-15,,
IQ200YukaF,/iq200yukaf,2537,175.6,9499,10905,140907,Apex Legends,Japanese,2020-12-27,,
by_Owl,/by_owl,3123,121.6,27558,8454,508201,Just Chatting,Russian,2013-08-22,610.0,2031.0
猫麦とろろ,/tororo_vtuber,2275,208.2,16031,6130,474544,Escape from Tarkov,Japanese,2020-05-22,,
orkpod,/orkpod,2787,149.5,10037,4473,240840,World of Warcraft,Russian,2013-05-31,529.0,3824.0
DVM_Medja,/dvm_medja,3259,111.7,59867,10202,344428,Grand Theft Auto V,French,2016-08-14,2336.0,17721.0
aXoZer,/axozer,2217,216.0,557151,19096,2876766,Just Chatting,Spanish,2016-08-30,2204.0,15001.0
Santutu,/santutu,5350,24.5,27360,10860,736437,Just Chatting,Spanish,2018-12-19,577.0,2767.0
PimentoIa,/pimentoia,966,639.0,5265,133,10138,Virtual Casino,Portuguese,2019-02-07,,
unsympathisch_tv,/unsympathisch_tv,5364,24.0,37982,4493,1190466,Just Chatting,German,2015-01-14,942.0,4874.0
FRG_RV,/frg_rv,5651,17.0,7097,14,1291,Casino,Russian,2024-02-18,,
agustin51,/agustin51,3770,80.8,33345,18422,1054695,Fortnite,Spanish,2015-08-16,0.0,4235
MLS,/mls,5971,10.0,63555,483,46245,Sports,English,2017-12-14,,
VEGETTA777,/vegetta777,4589,46.1,66389,40077,2397695,Counter-Strike,Spanish,2010-03-26,,
TheRunningManZ,/therunningmanz,2824,144.1,10645,2608,342074,DayZ,English,2014-08-24,3885.0,6702.0
SMii7Y,/smii7y,5238,26.4,22668,24056,1268346,Call of Duty: Warzone,English,2011-10-23,1782.0,5683.0
Manyrin,/manyrin,3358,102.5,29524,1489,537672,Just Chatting,Russian,2013-12-28,31.0,6022.0
MrChoco,/mrchoco,2322,197.4,21720,5933,172386,Dota 2,Spanish,2014-08-12,,
Bawkbasoup,/bawkbasoup,2035,240.8,23018,1137,180654,Resident Evil 3: Nemesis,English,2013-09-04,2756.0,9468.0
LCS_Challengers,/lcs_challengers,2939,132.5,187007,3497,352932,League of Legends,English,2016-05-16,,
ManuuXO,/manuuxo,2862,138.8,11154,4046,312971,Just Chatting,Italian,2019-01-23,3503.0,12400
Steelmage,/steelmage,3253,108.4,27882,3651,162933,Path of Exile,English,2014-02-21,604.0,2082.0
FargoBossx,/fargobossx,6079,6.2,6167,6,780,Casino,Russian,2024-02-24,,
NAKOO_Fn,/nakoo_fn,2937,131.3,35326,12843,789708,Fortnite,Spanish,2019-03-11,1240.0,1891.0
Ebonivon,/ebonivon,4711,39.8,13613,13886,651852,Just Chatting,Turkish,2017-07-03,,
omie,/omie,3577,87.2,22877,4613,255024,Grand Theft Auto V,English,2007-12-08,1716.0,6347.0
ESL_Dota2Earth,/esl_dota2earth,4660,41.1,61604,5116,103564,Dota 2,English,2014-10-06,,
RTP Arena CS:GO,/rtparenacsgo,2605,161.2,56288,2400,230997,Counter-Strike,Portuguese,2016-04-19,,
TooseFN,/toosefn,3708,79.9,18759,15790,606217,Fortnite,Russian,2016-04-13,165.0,1017.0
ゆふな,/yufuna,2029,237.9,24456,2030,187703,Apex Legends,Japanese,2018-04-14,,
mazzatomas,/mazzatomas,3833,73.3,28514,50511,593771,Just Chatting,Spanish,2018-03-04,,
ととみっくす,/tototmix,2507,170.6,13414,15896,78274,Grand Theft Auto V,Japanese,2015-06-27,,
UniversoReality_02,/universoreality_02,5602,14.9,11811,2364,36159,Just Chatting,Spanish,2023-04-21,,
Grimmmz,/grimmmz,1884,261.9,26085,4349,1052619,Escape from Tarkov,English,2009-12-31,732.0,10632.0
jasontheween,/jasontheween,2888,132.2,8255,11010,234180,Just Chatting,English,2015-11-14,0.0,7391
oozie,/oozie,1767,285.3,9688,24029,176345,Tom Clancy's Rainbow Six Siege,English,2020-11-12,,
懶貓,/failverde,1469,365.5,24430,3995,285331,Just Chatting,Chinese,2011-08-04,2913.0,9476.0
The_Happy_Hob,/the_happy_hob,2608,156.9,24909,624,334787,DARK SOULS III,English,2015-04-07,2701.0,6791.0
zwebackhd,/zwebackhd,3016,120.5,12161,2033,366582,FIFA 23,English,2013-05-18,2865.0,5487.0
Aenot,/aenot,2314,190.2,13178,5902,155926,Grand Theft Auto V,French,2013-04-17,4104.0,23653
SheefGG,/sheefgg,1776,281.2,47501,8302,128306,Escape from Tarkov,English,2016-09-04,,
maxim,/maxim,2997,121.1,21262,1928,474002,Teamfight Tactics,German,2017-09-01,604.0,1512.0
agurin,/agurin,2174,208.9,28222,2539,380530,League of Legends,English,2012-06-22,468.0,3423.0
coscu,/coscu,3566,83.8,425659,2533,3869238,League of Legends,Spanish,2012-09-26,517.0,3332.0
괴물쥐123,/tmxk319,2715,144.5,73569,-51,924349,League of Legends,Korean,2017-02-18,89.0,998.0
ElmiilloR,/elmiillor,3317,97.8,47655,105,848644,League of Legends,Spanish,2013-06-17,1298.0,6042.0
Im_Dontai,/im_dontai,2991,120.5,46789,6944,1829691,Just Chatting,English,2015-02-06,2581.0,8351.0
한동숙,/handongsuk,2152,210.7,166223,-1224,656281,League of Legends,Korean,2016-11-14,586.0,4085.0
Mathil1,/mathil1,2255,195.7,28388,1079,370904,Path of Exile,English,2011-10-20,1833.0,4778.0
AdmiralBulldog,/admiralbulldog,3187,105.7,56253,-145,788980,Dota 2,English,2012-05-26,814.0,6757.0
betboom_cs_a,/betboom_cs_a,3077,113.4,32978,10012,275266,Counter-Strike,Russian,2014-11-25,,
forg1,/forg1,2012,231.6,46026,1929,202818,Counter-Strike,Spanish,2017-06-05,952.0,1183
